Seq,ind_num,Indicator,Baseline,Target,Progress to date,Progress,Level,Pathway,Progress_label,Progress_left
1,1.1.1,# of member countries with reduced GHG emissions reported between 2021 and 2025 (compared to baselines defined in their respective NDCs),,70,20,0.285714285714286,Impact,Pathway 1,28%,0.714285714285714
1,1.1.1,# of member countries with reduced GHG emissions reported between 2021 and 2025 (compared to baselines defined in their respective NDCs),,70,20,0.285714285714286,Impact,Pathway 4,28%,0.714285714285714
1,1.1.2,"# of member countries with enhanced adaptive capacity, strengthened resilience, or reduced vulnerability by 2025 (compared to 2020 levels)",,70,35,0.5,Impact,Pathway 1,50%,0.5
1,1.1.2,"# of member countries with enhanced adaptive capacity, strengthened resilience, or reduced vulnerability by 2025 (compared to 2020 levels)",,70,35,0.5,Impact,Pathway 4,50%,0.5
1,1.1.3,"# of implementing and development partner members who have increased climate-related financing and investments from 2020 levels
",,45,12,0.266666666666667,Impact,Pathway 3,26%,0.733333333333333
2,2.1.1,"% of member countries receiving Partnership support who are on track     or ahead of schedule in meeting their NDC mitigation and adaptation targets
a.	Is the country’s emission trajectory in line with achievement of its  target by 2030? (yes/no)
b.	Is the country on track to meet its adaptation targets by 2030? (yes/no)",,60,30,0.5,Outcome,Pathway 1,50%,0.5
2,2.1.1,"% of member countries receiving Partnership support who are on track     or ahead of schedule in meeting their NDC mitigation and adaptation targets
a.	Is the country’s emission trajectory in line with achievement of its  target by 2030? (yes/no)
b.	Is the country on track to meet its adaptation targets by 2030? (yes/no)",,60,30,0.5,Outcome,Pathway 4,50%,0.5
2,2.2.1,% of member countries receiving Partnership support that submit an updated NDC with increased ambition6 by 2025,,100,80,0.8,Outcome,Pathway 2,80%,0.2
2,2.2.2,% of member countries receiving Partnership support that submit an updated NDC with increased ambition6 by 2025,0,70,45,0.642857142857143,Outcome,Pathway 2,64%,0.357142857142857
3,3.1.1,% of KPIs supported by members and non-members per NDC Action Plan,50,70,57,0.814285714285714,Intermediary Outcome,Pathway 1,82%,0.185714285714286
3,3.1.2,"Total USD value of assistance provided to member countries by implementing and development partners within the Partnership’s framework (tracked annually)
a.	Technical assistance
b.	Project financing (grants only)",70000000,150000000,90000000,0.6,Intermediary Outcome,Pathway 3,60%,0.4
3,3.1.4,"% of member countries receiving Partnership support reporting:
a.	Increased capacity and resources for NDC implementation
b.	Improved whole of society approaches due to Partnership facilitation",60,80,76,0.95,Intermediary Outcome,Pathway 1,96%,0.05
3,3.1.4,"% of member countries receiving Partnership support reporting:
a.	Increased capacity and resources for NDC implementation
b.	Improved whole of society approaches due to Partnership facilitation",60,80,76,0.95,Intermediary Outcome,Pathway 2,96%,0.05
3,3.2.1,"% of member countries receiving Partnership support that have integrated NDC targets into the next cycle of national/subnational/ sectoral development plans, and/or budgets
a.	National/subnational/sectoral development plans/national M&E frameworks ;
b.	Budgets",30,60,60,1,Intermediary Outcome,Pathway 4,100%,0
3,3.2.2,"# of member countries supported by the Partnership in which low carbon and climate resilient investment projects are mainstreamed in the: 
a.	national and subnational development plan 
b.	national and subnational budget",20,40,35,0.875,Intermediary Outcome,Pathway 4,88%,0.125
3,3.2.3,# of member countries receiving Partnership support that have integrated NDC priorities into economic recovery plans,33,50,40,0.8,Intermediary Outcome,Pathway 4,80%,0.2
